country,completion_female
Abkhazia,
Afghanistan,
Akrotiri and Dhekelia,
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antigua and Barbuda,
Argentina,102.10666
Armenia,94.58897
Aruba,90.94293
Australia,
Austria,101.12819
Azerbaijan,90.66259
Bahamas,96.84352
Bahrain,
Bangladesh,
Barbados,93.54322
Belarus,92.8244
Belgium,90.7742
Belize,89.21952
Benin,
Bermuda,
Bhutan,72.78407
Bolivia,100.6494
Bosnia and Herzegovina,
Botswana,100.60235
Brazil,
British Virgin Islands,
Brunei,118.06096
Bulgaria,98.09996
Burkina Faso,27.23575
Burundi,
Cambodia,89.3853
Cameroon,48.57237
Canada,95.51185
Cape Verde,102.34506
Cayman Islands,
Central African Republic,20.63435
Chad,22.11208
Channel Islands,
Chile,
China,
Christmas Island,
Cocos Island,
Colombia,111.75842
Comoros,
"Congo, Dem. Rep.",
"Congo, Rep.",74.07495
Cook Is,
Costa Rica,92.11125
Cote d'Ivoire,34.669
Croatia,95.62848
Cuba,90.13634
Cyprus,101.41141
Czech Republic,91.20606
Czechoslovakia,
Denmark,102.23493
Djibouti,31.41961
Dominica,95.02134
Dominican Republic,87.28093
East Germany,
Ecuador,106.07211
Egypt,90.12925
El Salvador,85.40846
Equatorial Guinea,
Eritrea,41.85209
Eritrea and Ethiopia,
Estonia,98.04493
Ethiopia,41.93541
Faeroe Islands,
Falkland Is (Malvinas),
Fiji,111.07262
Finland,96.85767
France,
French Guiana,
French Polynesia,
Gabon,
Gambia,64.99491
Georgia,83.25465
Germany,99.2409
Ghana,69.70583
Gibraltar,
Greece,102.58845
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,72.79787
Guernsey,
Guinea,52.85429
Guinea-Bissau,
Guyana,106.67855
Haiti,
Holy See,
Honduras,91.7316
"Hong Kong, China",99.53676
Hungary,98.78071
Iceland,101.67327
India,83.84568
Indonesia,95.94191
Iran,98.10947
Iraq,
Ireland,
Isle of Man,
Israel,103.32075
Italy,98.39106
Jamaica,
Japan,
Jersey,
Jordan,103.82431
Kazakhstan,104.26074
Kenya,
Kiribati,108.84956
North Korea,
South Korea,98.45523
United Korea (former),
Kosovo,
Kuwait,106.46714
Kyrgyz Republic,101.96508
Lao,70.03645
Latvia,91.05901
Lebanon,87.07596
Lesotho,89.04591
Liberia,
Libya,
Liechtenstein,109.13978
Lithuania,93.3611
Luxembourg,
"Macao, China",102.64068
"Macedonia, FYR",92.47784
Madagascar,58.03015
Malawi,58.32552
Malaysia,
Maldives,130.28603
Mali,37.41011
Malta,
Marshall Islands,116.09658
Martinique,
Mauritania,44.24076
Mauritius,93.76315
Mayotte,
Mexico,101.34438
"Micronesia, Fed. Sts.",
Moldova,97.64873
Monaco,
Mongolia,109.53153
Montenegro,
Montserrat,
Morocco,80.26943
Mozambique,34.20186
Myanmar,
Namibia,86.50668
Nauru,
Nepal,
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,
Ngorno-Karabakh,
Nicaragua,78.43628
Niger,25.87356
Nigeria,80.51109
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,98.60849
Oman,
Pakistan,51.43498
Palau,
Panama,93.79092
Papua New Guinea,
Paraguay,94.69324
Peru,101.44217
Philippines,95.76413
Pitcairn,
Poland,
Portugal,
Puerto Rico,
Qatar,87.12397
Reunion,
Romania,100.29841
Russia,
Rwanda,
St. Barthélemy,
St. Helena,
St. Kitts and Nevis,
St. Lucia,104.89965
St. Martin,
St. Vincent and the Grenadines,
St.-Pierre-et-Miquelon,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,48.69941
Serbia,
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,
Sierra Leone,
Singapore,
Slovak Republic,90.02255
Slovenia,
Solomon Islands,
Somalia,
Somaliland,
South Africa,
South Ossetia,
Spain,97.5326
Sri Lanka,103.95047
Sudan,
Suriname,99.9548
Svalbard,
Swaziland,68.22978
Sweden,95.93724
Switzerland,95.08792
Syria,105.74349
Taiwan,
Tajikistan,103.99385
Tanzania,71.47928
Thailand,
Timor-Leste,
Togo,63.31738
Tokelau,
Tonga,106.49789
Transnistria,
Trinidad and Tobago,
Tunisia,
Turkey,93.4201
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,109.2437
Uganda,
Ukraine,104.55208
United Arab Emirates,101.36929
United Kingdom,
United States,99.09253
Uruguay,100.97113
USSR,
Uzbekistan,98.4251
Wallis et Futuna,
Vanuatu,
Venezuela,98.77942
West Bank and Gaza,
West Germany,
Western Sahara,
Vietnam,
Virgin Islands (U.S.),
North Yemen (former),
South Yemen (former),
Yemen,
Yugoslavia,
Zambia,83.31598
Zimbabwe,
Åland,
South Sudan,
Christian,
Coastline,
Curaçao,
Sint Maarten (Dutch part),
St. Martin (French part),
Antarctica,
"Virgin Islands, British",
Hawaiian Trade Zone,
U.S. Pacific Islands,
Wake Island,
Bonaire,
Sark,
Chinese Taipei,
Saint Eustatius,
Saba,
