country,life_expectancy
Afghanistan,53.2
Albania,74.5
Algeria,74.8
American Samoa,
Andorra,83.2
Angola,56.9
Anguilla,
Antigua and Barbuda,74.4
Argentina,75.5
Armenia,72.2
Aruba,74.467
Australia,81.4
Austria,80
Azerbaijan,69.9
Bahamas,72.1
Bahrain,75.7
Bangladesh,68.1
Barbados,75.1
Belarus,69.2
Belgium,79.3
Belize,70.8
Benin,62.1
Bermuda,
Bhutan,66.9
Bolivia,70.3
Bosnia and Herzegovina,75.6
Botswana,57.5
Brazil,73.7
British Virgin Islands,
Brunei,77.4
Bulgaria,72.7
Burkina Faso,57.7
Burundi,55.3
Cambodia,65.2
Cameroon,55.7
Canada,80.5
Cape Verde,72.2
Cayman Islands,
Central African Rep.,49
Chad,53.7
Channel Islands,79.16
Chile,78.6
China,74.4
Christmas Island,
Cocos Island,
Colombia,74.5
Comoros,62.2
"Congo, Dem. Rep.",54.6
"Congo, Rep.",57.2
Cook Islands,
Costa Rica,79.2
Cote d'Ivoire,54.4
Croatia,76.3
Cuba,77.4
Cyprus,80.7
Czech Rep.,76.6
Denmark,78.3
Djibouti,60.2
Dominica,74.2
Dominican Rep.,72.2
Ecuador,73.8
Egypt,70
El Salvador,73.4
Equatorial Guinea,56.1
Eritrea,59.5
Estonia,72.8
Ethiopia,57.7
Faeroe Islands,
Falkland Islands (Malvinas),
Fiji,65.4
Finland,79
France,80.7
French Guiana,75.654
French Polynesia,74.484
Gabon,57.6
Gambia,61.6
Georgia,72.4
Germany,79.7
Ghana,61.8
Gibraltar,
Greece,79.2
Greenland,69.58
Grenada,70.3
Guadeloupe,78.946
Guam,76.957
Guatemala,69.9
Guernsey,
Guinea,57.6
Guinea-Bissau,50.9
Guyana,63
Haiti,60.7
Holy See,
Honduras,70.4
"Hong Kong, China",82.124
Hungary,73.2
Iceland,81.5
India,63.6
Indonesia,69.1
Iran,75.4
Iraq,63.3
Ireland,79.2
Isle of Man,
Israel,80.2
Italy,81.2
Jamaica,75.2
Japan,82.3
Jersey,
Jordan,75.1
Kazakhstan,65.1
Kenya,59.6
Kiribati,60.8
"Korea, Dem. Rep.",70.2
"Korea, Rep.",79.2
Kosovo,
Kuwait,78
Kyrgyzstan,66.5
Laos,62.6
Latvia,70.9
Lebanon,76.8
Lesotho,44
Liberia,59.9
Libya,75.2
Liechtenstein,
Lithuania,71.1
Luxembourg,80.1
"Macao, China",78.886
"Macedonia, FYR",75.1
Madagascar,62.7
Malawi,49.3
Malaysia,74.6
Maldives,77.3
Mali,54.8
Malta,81.1
Marshall Islands,63.5
Martinique,79.784
Mauritania,63
Mauritius,72.1
Mayotte,77.529
Mexico,75.8
"Micronesia, Fed. Sts.",65.8
Moldova,69.4
Monaco,
Mongolia,62.5
Montenegro,74
Montserrat,
Morocco,72.8
Mozambique,54.1
Myanmar,64.1
Namibia,53.2
Nauru,
Nepal,67.8
Netherlands,79.9
Netherlands Antilles,75.759
New Caledonia,74.838
New Zealand,80
Nicaragua,74.8
Niger,58.3
Nigeria,57.2
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,80.4
Oman,74.3
Pakistan,63.6
Palau,
Panama,77.2
Papua New Guinea,57.5
Paraguay,73.5
Peru,76.5
Philippines,69.1
Pitcairn,
Poland,75
Portugal,78.7
Puerto Rico,77.6
Qatar,79.3
Reunion,77.807
Romania,73
Russia,66.1
Rwanda,59.3
Saint Barthélemy,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,73.6
Saint Martin,
Saint Vincent and the Grenadines,70.9
Saint-Pierre-et-Miquelon,
Samoa,71.1
San Marino,
Sao Tome and Principe,66.5
Saudi Arabia,77.4
Senegal,63.4
Serbia,76
Serbia excluding Kosovo,
Seychelles,72.2
Sierra Leone,54.9
Singapore,80.4
Slovak Republic,74.4
Slovenia,77.6
Solomon Islands,62.2
Somalia,56.3
South Africa,53.3
South Sudan,55.5
Spain,80.7
Sri Lanka,74.4
Sudan,66.6
Suriname,68.7
Svalbard,
Swaziland,44
Sweden,80.7
Switzerland,81.5
Syria,76.1
Taiwan,77.7
Tajikistan,69
Tanzania,57.9
Thailand,73.3
Timor-Leste,67.6
Togo,59.4
Tokelau,69
Tonga,69.7
Trinidad and Tobago,71.2
Tunisia,76.2
Turkey,74.3
Turkmenistan,65.1
Turks and Caicos Islands,
Tuvalu,
Uganda,55.9
Ukraine,67.3
United Arab Emirates,75.6
United Kingdom,79.3
United States,77.8
Uruguay,75.5
Uzbekistan,68.3
Wallis et Futuna,
Vanuatu,63.3
Venezuela,74.8
West Bank and Gaza,73.3
Western Sahara,65.409
Vietnam,75
Virgin Islands (U.S.),78.688
"Yemen, Rep.",65.4
Zambia,48.8
Zimbabwe,47.8
Åland,80.1
